"Step","colab_run_clipB32_combined - train_loss","colab_run_clipB32_combined - train_loss__MIN","colab_run_clipB32_combined - train_loss__MAX"
"0","0.26371010794493993","0.26371010794493993","0.26371010794493993"
"1","0.1486392149992979","0.1486392149992979","0.1486392149992979"
"2","0.12296544643433911","0.12296544643433911","0.12296544643433911"
"3","0.1023415900711621","0.1023415900711621","0.1023415900711621"
"4","0.08721141468771683","0.08721141468771683","0.08721141468771683"
"5","0.0711344791319191","0.0711344791319191","0.0711344791319191"
"6","0.06403969297171733","0.06403969297171733","0.06403969297171733"
"7","0.05536439575641516","0.05536439575641516","0.05536439575641516"
"8","0.049925008275211805","0.049925008275211805","0.049925008275211805"
"9","0.04630900190421898","0.04630900190421898","0.04630900190421898"